Gene	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
OR1S1	17	No	N/A	No	0.007849006	1	1	1	0.51	1	1	1	1	1	0.908014	1	1	1	1	1
INSL3	7	No	N/A	No	0.7531729	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OTP	8	No	N/A	No	0.6856975	1	1	1	0.53	1	1	1	1	1	1	1	1	1	1	0
MEDAG	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF33A	19	No	N/A	No	1	1	0.322418394372	1	0.6	1	1	1	1	1	0.603107	1	0.0160409956239191	1	1	1
TMEM168	11	No	N/A	No	1	1	0.22129056329	1	0.926	1	1	1	1	1	1	1	1	1	1	0
HEXDC	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GRM1	49	No	N/A	No	0.00102748	1	1	1	0.00509	1	1	0.0003128902	1	0.151	0.434966	1	0.00940094068587474	1	1	4
KAT6B	13	No	Unk	Other somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GGNBP2	12	No	N/A	No	0.6532187	0.765659999292854	1	1	0.405	1	1	1	1	1	1	1	0.145891297185946	1	1	0
PSMA1	16	No	N/A	No	1	0.688420525921392	1	1	0.159	1	1	1	1	1	1	1	1	1	1	0
IGDCC4	26	No	N/A	No	3.659868e-05	1	1	1	0.557	1	1	1	1	1	0.789492	1	0.192684857959185	1	1	1
SPATA17	13	No	N/A	No	0.1210734	1	1	1	0.238	1	1	1	1	1	1	1	1	1	1	0
IGSF11	12	No	N/A	No	0.9444329	1	1	1	0.966	1	1	1	1	1	1	1	1	1	1	0
RBM45	7	No	N/A	No	0.4355457	1	1	1	0.53	1	1	1	1	1	1	1	0.173352988157791	1	1	0
SHANK3	8	No	N/A	No	1	1	0.100384925611	1	0.442	1	1	1	1	1	1	1	1	1	1	0
SPG20	10	No	N/A	No	1	0.483311915448365	1	1	0.471	1	1	1	1	1	1	1	0.181514054152159	1	1	0
TAPBP	13	No	N/A	No	1	0.836040569749695	1	1	0.145	1	1	1	1	1	0.846898	1	1	1	1	0
RFPL3S	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TMEM185A	6	No	N/A	No	0.0551695	0.473368695183361	1	1	0.315	1	1	1	1	1	1	1	1	1	1	0
ZNF211	6	No	N/A	No	1	0.311519872014368	1	1	0.46	1	1	1	1	1	1	1	1	1	1	0
YJEFN3	16	No	N/A	No	0.997859	1	1	0.003558495	0.0255	1	1	1	1	1	1	1	1	1	1	2
SEC24B	10	No	N/A	No	1	0.556912122408373	1	1	0.197	1	1	1	1	1	1	1	1	1	1	0
NFIB	5	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.507	1	1	1	1	1	1	1	1	1	1	0
ZNF320	5	No	N/A	No	1	1	1	1	0.837	1	1	1	1	1	1	1	1	1	1	0
NCR1	9	No	N/A	No	0.9722555	1	1	1	0.881	1	1	1	1	1	1	1	1	1	1	0
SGCD	15	No	N/A	No	0.9247493	0.860505333716197	1	1	0.896	1	1	1	1	1	1	1	1	1	1	0
SLC19A3	8	No	N/A	No	1	1	1	1	0.00971	1	1	1	1	1	1	1	1	1	1	1
AAMP	9	No	N/A	No	1	1	1	1	0.19	1	1	1	1	1	1	1	1	1	1	0
CCL16	8	No	N/A	No	0.2755905	1	1	1	0.602	1	1	1	1	1	1	1	1	1	1	0
SLFN5	12	No	N/A	No	1	0.444006994898248	1	1	0.0012	1	1	1	1	1	1	1	1	1	1	1
ACAD11	13	No	N/A	No	1	0.687339031234179	1	1	0.395	1	1	1	1	1	0.673361	1	1	1	1	0
OPN1SW	8	No	N/A	No	0.7930027	1	1	1	0.568	1	1	1	1	1	0.84456	1	1	1	1	0
ATP11A	12	No	N/A	No	1	1	1	1	0.0484	1	1	1	1	1	1	1	1	1	1	1
CCT5	8	No	N/A	No	1	0.181456336840311	1	1	0.586	1	1	1	1	1	1	1	0.167527770929479	1	1	0
OAS2	14	No	N/A	No	1	0.454014900153488	1	1	0.257	0.963214505564536	1	1	1	1	0.924518	1	1	1	1	0
CCDC89	10	No	N/A	No	1	1	1	1	0.637	1	1	1	1	1	1	1	1	1	1	0
TSPAN31	9	No	N/A	No	0.06576866	0.625725917724838	1	1	0.729	1	1	1	1	1	1	1	1	1	1	0
HSPA6	9	No	N/A	No	0.6856975	1	0.170584080939	1	0.818	1	1	1	1	1	0.954508	1	1	1	1	0
AGAP1	10	No	N/A	No	1	1	1	1	0.134	0.70878041628952	1	1	1	1	0.954508	1	1	1	1	0
ERC2	9	No	N/A	No	1	1	1	1	0.771	1	1	1	1	1	1	1	1	1	1	0
SPRY2	5	No	N/A	No	0.9502902	0.409752766014538	1	1	0.0504	1	1	1	1	1	1	1	1	1	1	0
NAE1	6	No	N/A	No	0.8281416	0.39495900853216	1	1	0.0741	1	1	1	1	1	0.964478	1	1	1	1	0
PCSK4	12	No	N/A	No	0.119773	1	1	1	0.796	1	1	1	1	1	0.826273	1	1	1	1	0
TECRL	31	No	N/A	No	0.1501624	1	1	1	0.807	1	1	1	1	1	1	1	1	1	1	0
USP14	9	No	N/A	No	1	1	1	1	0.493	1	1	1	1	1	0.929167	1	0.201769265748709	1	1	0
NNMT	10	No	N/A	No	0.6285601	1	1	1	0.983	1	1	1	1	1	0.967987	1	0.208868488976038	1	1	0
MAST3	14	No	N/A	No	0.8995979	0.986433971183448	1	1	0.751	1	1	1	1	1	1	1	0.00530131068535468	1	1	1
CDK5	13	No	N/A	No	0.7388666	1	1	1	0.204	1	1	1	1	1	1	1	1	1	1	0
TMPRSS13	7	No	N/A	No	0.6458024	1	1	1	0.667	1	1	1	1	1	1	1	1	1	1	0
SHC2	8	No	N/A	No	1	1	1	1	0.397	1	1	1	1	1	1	1	1	1	1	0
ADCY10	28	No	N/A	No	0.00182949	1	1	1	0.253	1	1	1	1	1	0.827809	1	1	1	1	1
ADORA1	15	No	N/A	No	0.4915344	1	1	1	0.683	1	1	1	1	1	0.812843	1	1	1	1	0
PRSS12	7	No	N/A	No	1	1	1	1	0.925	1	1	1	1	1	1	1	1	1	1	0
PLXNA1	17	No	N/A	No	0.6298809	0.304236483677051	1	1	0.402	1	1	1	1	1	0.947951	1	1	1	1	0
GJD2	6	No	N/A	No	1	1	1	1	0.742	1	1	1	1	1	1	1	1	1	1	0
KRTAP24-1	23	No	N/A	No	0.01063001	1	1	1	0.868	1	1	1	1	1	1	1	1	1	1	1
NAGLU	5	No	N/A	No	1	1	1	1	0.456	1	1	1	1	1	1	1	1	1	1	0
SV2C	20	No	N/A	No	0.01403675	1	1	1	0.308	1	1	1	1	1	0.828782	1	1	1	1	1
SETDB2	13	No	N/A	No	0.1473483	0.318014785979553	1	1	0.578	1	1	1	1	1	1	1	1	1	1	0
MYNN	7	No	N/A	No	1	0.482969315520087	1	1	0.374	1	1	1	1	1	1	1	1	1	1	0
ARFIP2	6	No	N/A	No	0.776585	0.657635638910756	1	1	0.361	1	1	1	1	1	1	1	1	1	1	0
MYBL1	6	No	N/A	No	1	1	1	1	0.358	1	1	1	1	1	1	1	0.169013419618805	1	1	0
AQP7	15	No	N/A	No	0.7195473	1	1	1	0.319	1	1	1	1	1	0.831652	1	1	1	0.01204741	1
SATB1	10	No	N/A	No	0.9118358	0.725023945080961	1	1	0.384	1	1	1	1	1	1	1	1	1	1	0
CCR8	5	No	N/A	No	0.8026318	1	1	1	0.212	1	1	1	1	1	1	1	1	1	1	0
SLC25A40	7	No	N/A	No	0.720632	0.583452471278051	1	1	0.0169	1	1	1	1	1	1	1	1	1	1	1
KCNJ9	13	No	N/A	No	1	1	1	1	0.406	1	1	1	1	1	1	1	1	1	1	0
GRAMD4	6	No	N/A	No	0.4031017	1	1	1	0.655	1	1	1	1	1	1	1	1	1	1	0
CANX	5	No	N/A	No	1	1	1	1	0.918	1	1	1	1	1	1	1	1	1	1	0
DDX1	9	No	N/A	No	1	0.816675518263759	1	1	0.673	1	1	1	1	1	1	1	1	1	1	0
SLC10A1	5	No	N/A	No	0.928809	1	1	1	0.00674	1	1	1	1	1	1	1	1	1	1	1
TRPV5	35	No	N/A	No	0.6758006	1	1	1	0.83	1	1	1	1	1	0.964238	1	1	1	1	0
KLK13	8	No	N/A	No	0.0252006	1	1	1	0.826	1	1	1	1	1	1	1	1	1	1	1
CAMK1	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARHGAP25	20	No	N/A	No	0.001514922	1	0.333708167306	1	0.606	1	1	1	1	1	1	1	0.0756678403531995	1	1	1
EBF2	11	No	N/A	No	1	1	1	1	0.738	1	1	1	1	1	1	1	1	1	1	0
DUSP22	16	No	N/A	No	1	0.327765039948661	0.242974966049	1	0.0494	0.661938415232441	1	1	1	1	0.573186	1	1	1	1	1
TOP1	7	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.42	1	1	1	1	1	0.940696	1	0.208572848925792	1	1	0
OR7A5	6	No	N/A	No	0.938884	1	1	1	0.405	1	1	1	1	1	1	1	1	1	1	0
ZNF267	13	No	N/A	No	1	0.915430340270962	1	1	0.263	1	1	1	1	1	1	1	1	1	1	0
WSCD2	28	No	N/A	No	0.9366793	1	1	1	0.212	1	1	1	1	1	0.929167	1	1	1	1	0
TJP1	14	No	N/A	No	1	0.900549868506816	1	1	0.798	1	1	1	1	1	1	1	1	1	1	0
PNLIPRP1	13	No	N/A	No	0.3075125	1	1	1	0.00586	1	1	1	1	1	0.924518	1	1	1	1	1
PCCA	6	No	N/A	No	1	0.244866430462	1	1	0.749	1	1	1	1	1	1	1	0.168014382147936	1	1	0
PYGL	7	No	N/A	No	1	0.292208214660212	1	1	0.362	1	1	1	1	1	1	1	0.213145647551536	1	1	0
TCHH	49	No	N/A	No	1	1	1	1	0.956	1	1	1	1	1	1	1	1	1	1	0
DLX5	16	No	N/A	No	0.02286315	1	1	1	0.206	1	1	1	1	1	1	1	0.135602049490028	1	1	1
SKAP2	6	No	N/A	No	0.6009636	1	1	1	0.578	1	1	1	1	1	1	1	1	1	1	0
SLAMF8	9	No	N/A	No	0.02720465	0.84198453348981	0.170584080939	1	0.938	1	1	1	1	1	1	1	1	1	1	1
BLZF1	8	No	N/A	No	1	1	1	1	0.376	1	1	1	1	1	1	1	1	1	1	0
MYO1F	11	No	N/A	No	0.8784998	1	1	1	0.75	1	1	1	1	1	0.89591	1	0.00015060897389686	1	1	1
LIG1	15	No	N/A	No	0.08343979	0.440749075361117	1	1	0.747	1	1	1	1	1	0.913775	1	1	1	1	0
DPRX	5	No	N/A	No	0.6099031	1	1	1	0.896	1	1	1	1	1	1	1	1	1	1	0
ATP9A	14	No	N/A	No	0.7242355	1	1	1	0.473	1	1	1	1	1	0.940867	1	1	1	1	0
NEFH	10	No	N/A	No	0.6584117	1	1	1	0.217	1	1	1	1	1	1	1	0.165230951865757	1	1	0
NEU4	13	No	N/A	No	0.04548034	1	1	1	0.775	1	1	1	1	1	0.92874	1	1	1	1	1
SLC4A1AP	6	No	N/A	No	1	1	1	1	0.401	1	1	1	1	1	1	1	1	1	1	0
RABGAP1L	21	No	N/A	No	1	0.39495900853216	0.0634165244918	1	0.316	1	1	1	1	1	1	1	1	1	1	0
TMEM63C	5	No	N/A	No	1	1	1	1	0.415	1	1	1	1	1	1	1	1	1	1	0
CSPP1	21	No	N/A	No	0.08343979	1	1	1	0.806	1	1	1	1	1	1	1	1	1	1	0
GPR123	9	No	N/A	No	0.3793184	1	1	1	0.236	1	1	1	1	1	1	1	1	1	1	0
GRHL3	10	No	N/A	No	0.8247375	1	1	1	0.369	1	1	1	1	1	1	1	1	1	1	0
TMEM82	8	No	N/A	No	0.4779969	1	1	1	0.173	1	1	1	1	1	1	1	1	1	1	0
DCT	15	No	N/A	No	0.02067947	1	1	1	0.126	1	1	1	1	1	0.727521	1	1	1	1	1
ARAP3	23	No	N/A	No	0.01396815	0.785474362746867	0.296129069535	1	0.204	1	1	1	1	1	1	1	0.152699533707278	1	1	1
CEP85	15	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PRELP	15	No	N/A	No	0.002969786	1	0.22129056329	1	0.276	1	1	1	1	1	0.805109	1	1	1	1	1
G3BP1	8	No	N/A	No	0.2119199	0.0118182510061652	0.0634165244918	0.0008518446	0.0534	1	1	1	1	1	1	1	1	1	1	2
DMRTB1	12	No	N/A	No	0.00190444	1	1	1	0.425	1	1	1	1	1	1	1	1	1	1	1
WBP7	35	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GABRA4	38	No	N/A	No	0.00650313	1	1	1	0.756	1	1	1	1	1	0.867504	1	1	1	1	1
ZNF395	10	No	N/A	No	1	1	1	1	0.328	1	1	1	1	1	1	2.143e-05	1	1	1	1
CTD-2583A14.10	12	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TKTL2	26	No	N/A	No	1	1	1	1	0.935	1	1	1	1	1	0.874768	1	1	1	1	0
CCDC50	5	No	N/A	No	1	1	1	1	0.0554	1	1	1	1	1	1	1	1	1	1	0
SCN7A	31	No	N/A	No	1	1	1	1	0.84	1	1	1	1	1	1	1	1	1	1	0
EPS8	5	No	N/A	No	1	0.252563769202907	1	1	0.61	1	1	1	1	1	1	1	0.105888578443869	1	1	0
OSBPL5	5	No	N/A	No	1	1	1	1	0.537	1	1	1	1	1	1	1	1	1	1	0
OR8K1	18	No	N/A	No	1	1	1	1	0.275	1	1	1	1	1	1	1	1	1	1	0
DYTN	17	No	N/A	No	0.1251716	1	1	1	0.00549	1	1	1	1	1	0.461733	1	1	1	1	1
ZNF497	8	No	N/A	No	1	1	1	1	0.868	1	1	1	1	1	1	1	1	1	1	0
NXPE4	14	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FES	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SLC38A10	7	No	N/A	No	1	1	1	1	0.0182	1	1	1	1	1	1	1	1	1	1	1
FAM227B	17	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TMEM79	12	No	N/A	No	0.9651755	0.587971166652114	1	1	0.982	1	1	1	1	1	1	1	1	1	1	0
HIST2H2BE	23	No	N/A	No	1	0.730571105246282	1	1	0.0948	1	1	1	1	1	1	1	1	1	1	0
BCAP29	6	No	N/A	No	1	0.101229833704816	1	1	0.0022	1	1	1	1	1	1	1	1	1	1	1
WNT2	7	No	N/A	No	0.1423002	1	1	1	0.558	1	1	1	1	1	0.92874	1	1	1	1	0
MYO9A	18	No	N/A	No	0.9132667	1	1	1	0.132	1	1	1	1	1	1	1	1	1	1	0
EDARADD	8	No	N/A	No	0.2846691	1	1	1	0.616	1	1	1	1	1	1	1	1	1	1	0
CIITA	5	No	TSG	Other somatic drivers in other tissues	1	1	1	1	0.462	1	1	1	1	1	1	1	1	1	1	0
VSTM4	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
C2CD2L	10	No	N/A	No	0.2408304	1	1	1	0.238	1	1	1	1	1	1	1	0.00052304251227836	1	1	1
MCOLN1	8	No	N/A	No	1	1	1	1	0.0283	1	1	1	1	1	1	1	1	1	1	1
RASA1	12	No	N/A	No	1	1	1	1	0.0911	1	1	1	1	1	1	1	1	1	1	0
KRTAP5-10	18	No	N/A	No	0.01013016	1	1	1	0.452	1	1	1	1	1	1	0.003968	1	1	1	2
RGPD4	37	No	N/A	No	1	0.56135822268804	0.22129056329	1	0.158	0.621213942769979	1	1	1	1	0.789492	1	1	1	1	0
GALR1	7	No	N/A	No	1	1	1	1	0.732	1	1	1	1	1	1	1	1	1	1	0
FBXO4	6	No	N/A	No	0.6743174	1	1	1	0.93	1	1	1	1	1	0.92874	1	1	1	1	0
CD109	21	No	N/A	No	0.5313751	1	0.333708167306	1	0.235	1	1	1	1	1	0.8686	1	1	1	1	0
STARD13	18	No	N/A	No	1	0.667408339369985	1	1	0.364	1	1	1	1	1	1	1	1	1	1	0
TTF2	10	No	N/A	No	1	1	1	1	0.262	1	1	1	1	1	1	1	0.0155305316909981	1	1	1
FAM149A	9	No	N/A	No	0.5050989	1	1	1	0.66	1	1	1	1	1	1	1	1	1	1	0
ABCB1	46	No	N/A	No	0.08524591	1	1	1	0.601	1	1	1	1	1	0.805109	1	1	1	1	0
MDP1	8	No	N/A	No	0.9334441	1	1	1	0.539	1	1	1	1	1	1	1	1	1	1	0
LAMP3	6	No	N/A	No	0.7608337	0.483562991788139	0.0301408657406	1	0.367	1	1	1	1	1	1	1	1	1	1	1
RUNX3	6	No	N/A	No	0.9485887	1	1	1	0.556	1	1	1	1	1	1	1	1	1	1	0
PTPN9	6	No	N/A	No	1	1	1	1	0.693	1	1	1	1	1	0.983617	1	0.0589646255428798	1	1	0
TMEM199	24	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GSDMD	5	No	N/A	No	0.7713511	1	1	1	0.106	1	1	1	1	1	1	1	1	1	1	0
HNRNPUL1	12	No	N/A	No	0.1687582	0.799688299192746	1	1	0.74	1	1	1	1	1	1	1	1	1	1	0
IL37	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LRTM1	8	No	N/A	No	0.08966024	1	1	1	0.586	1	1	1	1	1	1	1	1	1	1	0
PEX16	6	No	N/A	No	0.9903751	0.326822545840724	1	1	0.0408	1	1	1	1	1	1	1	1	1	1	1
IGSF21	10	No	N/A	No	1	1	1	1	0.886	1	1	1	1	1	1	1	1	1	1	0
EEF1D	7	No	N/A	No	1	1	1	1	0.016	1	1	1	1	1	1	1	1	1	1	1
RALGAPA1	23	No	N/A	No	1	0.0182509704648638	1	1	0.659	1	1	1	1	1	1	1	1	1	1	1
OCA2	29	No	N/A	No	0.5945335	1	1	1	0.841	1	1	1	1	1	0.851184	1	1	1	1	0
C11orf94	8	No	N/A	No	0.5666063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MIB2	11	No	N/A	No	0.2833171	0.728119934585135	1	1	0.89	1	1	1	1	1	0.953733	1	1	1	1	0
PTPRN2	35	No	N/A	No	0.0216869	1	0.155574858743	1	0.614	1	1	1	1	1	0.934847	1	1	1	1	1
PCDH11X	100	No	N/A	No	0.9890256	1	1	1	0.896	1	1	1	1	1	0.778504	1	1	1	1	0
TXNDC16	10	No	N/A	No	0.4749642	1	1	1	0.564	1	1	1	1	1	1	1	1	1	1	0
PRKAG1	11	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EEF1E1-MUTED	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
C20orf85	8	No	N/A	No	1	1	1	1	0.608	1	1	1	1	1	1	1	1	1	1	0
PPP2R5D	8	No	N/A	No	0.713959	0.244313451834429	1	1	0.64	1	1	1	1	1	0.92874	1	1	1	1	0
ANKRD28	5	No	N/A	No	1	1	1	1	0.342	1	1	1	1	1	1	1	1	1	1	0
DTX3	18	No	N/A	No	0.7589862	0.402840641452948	0.0279567298353	1	0.599	1	1	1	1	1	1	1	1	1	1	1
KRT24	9	No	N/A	No	0.09894365	1	1	1	0.776	1	1	1	1	1	1	1	1	1	1	0
PLA2G4B	8	No	N/A	No	1	1	1	1	0.724	1	1	1	1	1	1	1	1	1	1	0
AGER	13	No	N/A	No	1	1	1	1	0.483	1	1	1	1	1	1	1	1	1	1	0
YME1L1	5	No	N/A	No	1	1	1	1	0.969	1	1	1	1	1	1	1	0.0909509605446896	1	1	0
ARHGAP35	23	No	N/A	No	1	0.962486684586184	1	1	1	0.977836716081565	1	1	1	1	0.866928	1	0.10153891586249	1	1	0
MPPED1	11	No	N/A	No	0.10193	1	1	1	0.913	1	1	1	1	1	0.968732	1	1	1	1	0
KRT13	5	No	N/A	No	1	1	1	1	0.763	1	1	1	1	1	1	1	0.211253425757615	1	1	0
POLR1B	11	No	N/A	No	0.4527203	0.54760473841286	1	1	0.276	1	1	1	1	1	0.936477	1	1	1	1	0
SCAMP3	13	No	N/A	No	0.2739821	1	1	1	0.81	1	1	1	1	1	1	1	1	1	1	0
ASB12	11	No	N/A	No	0.1167926	1	1	1	0.367	1	1	1	1	1	0.826439	1	1	1	1	0
NOS2	20	No	N/A	No	0.8888458	1	1	1	0.662	1	1	1	1	1	0.851184	1	1	1	1	0
SRSF6	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.0308697849171739	1	1	1
RIC3	5	No	N/A	No	0.6877613	1	1	1	0.307	1	1	1	1	1	1	1	0.165230951865757	1	1	0
SOX5	20	No	N/A	No	1	1	1	1	0.752	1	1	1	1	1	1	1	0.205128386304057	1	1	0
ATP6V1B2	5	No	N/A	No	1	0.966507854504402	1	1	0.996	1	1	1	1	1	1	1	1	1	1	0
CDHR2	47	No	N/A	No	0.01361193	1	1	1	0.14	1	1	1	1	1	0.878345	1	1	1	1	1
MYRF	18	No	N/A	No	1	0.682940348881172	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IPO13	16	No	N/A	No	1	1	0.0634165244918	1	0.808	1	1	1	1	1	0.951617	1	1	1	1	0
HPS4	8	No	N/A	No	1	1	1	1	0.412	1	1	1	1	1	1	1	1	1	1	0
CASD1	7	No	N/A	No	0.918495	0.585178602602976	1	1	0.806	1	1	1	1	1	1	1	1	1	1	0
XRN1	18	No	N/A	No	0.5073575	0.26886518095888	1	1	0.0544	1	1	1	1	1	0.931822	1	0.165230951865757	1	1	0
ST8SIA4	7	No	N/A	No	0.8604808	1	1	1	0.819	1	1	1	1	1	0.92874	1	1	1	1	0
CCNB1IP1	5	No	TSG	Other somatic drivers in other tissues	1	1	0.0107520760273	1	0.359	1	1	1	1	1	1	1	1	1	1	1
TAF9B	7	No	N/A	No	1	1	1	1	0.695	1	1	1	1	1	1	1	1	1	1	0
CDCA8	5	No	N/A	No	1	1	1	1	0.524	1	1	1	1	1	1	1	1	1	1	0
ESX1	10	No	N/A	No	0.2420671	1	1	1	0.951	1	1	1	1	1	1	1	1	1	1	0
ZNF37A	9	No	N/A	No	1	1	1	1	0.606	1	1	1	1	1	1	1	1	1	1	0
PCDH12	13	No	N/A	No	0.9210897	1	0.22129056329	1	0.296	1	1	1	1	1	1	1	1	1	1	0
GPX5	7	No	N/A	No	0.1167926	1	1	1	0.0604	1	1	1	1	1	0.971788	1	1	1	1	0
PRPF39	5	No	N/A	No	0.7932032	1	1	1	0.497	1	1	1	1	1	1	1	1	1	1	0
RAD51AP1	9	No	N/A	No	0.467144	0.474048044245896	1	1	0.282	1	1	1	1	1	1	1	1	1	1	0
OR2B3	9	No	N/A	No	1	1	1	1	0.395	1	1	1	1	1	0.851184	1	1	1	1	0
SNX1	8	No	N/A	No	0.1745664	0.646814799140798	1	1	0.954	1	1	1	1	1	1	1	1	1	1	0
PCDHGB4	173	No	N/A	No	1	1	1	1	0.00751	1	1	1	1	1	0.93069	0.0025	1	1	1	2
SERPINE2	10	No	N/A	No	0.4973848	0.235079185847432	1	1	0.47	1	1	1	1	1	0.841329	1	1	1	1	0
SLC9A3R1	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OR2A25	23	No	N/A	No	0.5996537	1	1	1	0.264	1	1	1	1	1	0.953733	1	1	1	1	0
SPOCD1	10	No	N/A	No	0.918495	1	1	1	0.199	1	1	1	1	1	1	1	1	1	1	0
CBWD2	5	No	N/A	No	0.4544055	0.999614042817049	1	1	0.128	1	1	1	1	1	1	1	0.174022411986184	1	1	0
RCE1	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TBL1X	5	No	N/A	No	1	1	1	1	0.947	1	1	1	1	1	1	1	1	1	1	0
GNAI1	9	No	N/A	No	0.5182005	0.0151025017174354	0.137798603258	1	0.134	1	1	1	1	1	0.929167	1	1	1	1	1
ALDH1A1	8	No	N/A	No	0.2522974	0.19764941916337	1	1	0.411	1	1	1	1	1	0.846898	1	1	1	1	0
CTB-96E2.2	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CYP1B1	5	No	N/A	No	0.8071715	0.117197296798812	1	1	0.477	1	1	1	1	1	1	1	1	1	1	0
LRRC16B	17	No	N/A	No	1	1	1	1	0.978	1	1	1	1	1	0.93069	1	1	1	1	0
CSNK1G1	5	No	N/A	No	0.1509297	0.828158415812644	1	1	0.647	1	1	1	1	1	1	1	0.118976882268125	1	1	0
RP11-468E2.6	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MTMR10	7	No	N/A	No	1	1	1	1	0.978	1	1	1	1	1	1	1	1	1	1	0
TROAP	11	No	N/A	No	1	1	1	1	0.484	1	1	1	1	1	1	1	1	1	1	0
TCEAL6	5	No	N/A	No	1	1	1	1	0.43	1	1	1	1	1	1	1	1	1	1	0
BCAN	24	No	N/A	No	1	1	1	1	0.495	1	1	1	1	1	0.904178	1	1	1	1	0
KAT7	6	No	N/A	No	1	0.745033546867258	0.0634165244918	1	1	1	1	1	1	1	0.929958	1	0.188007143741409	1	1	0
ANKRD34A	9	No	N/A	No	0.5964396	1	1	1	0.543	1	1	1	1	1	1	1	1	1	1	0
GABRE	6	No	N/A	No	1	1	1	1	0.177	1	1	1	1	1	1	1	1	1	1	0
AZI1	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NEK1	10	No	N/A	No	1	1	1	1	0.249	1	1	1	1	1	1	1	0.000881772454916309	1	1	1
MCF2L2	22	No	N/A	No	0.2495597	1	1	1	0.909	1	1	1	1	1	0.8686	1	1	1	1	0
BCAP31	6	No	N/A	No	1	0.655131987540666	1	1	0.95	1	1	1	1	1	1	1	1	1	1	0
KIAA1407	7	No	N/A	No	1	1	1	1	0.42	1	1	1	1	1	1	1	1	1	1	0
TUBA3D	16	No	N/A	No	0.649817	1	1	1	0.583	1	1	1	1	1	1	1	0.109492264821322	1	1	0
LSG1	9	No	N/A	No	0.9574424	0.914592536966227	1	1	0.437	1	1	1	1	1	1	1	0.0686107817063619	1	1	0
UGT2B7	14	No	N/A	No	0.2623292	1	1	1	0.908	1	1	1	1	1	1	1	1	1	1	0
MTUS2	31	No	N/A	No	1	1	1	1	0.592	1	1	1	1	1	1	1	1	1	1	0
ZBTB39	9	No	N/A	No	1	1	1	1	0.27	1	1	1	1	1	1	1	1	1	1	0
KIAA0391	12	No	N/A	No	0.4749642	0.454014900153488	0.0107520760273	1	0.0298	1	1	1	1	1	1	1	1	1	1	2
ZNF92	10	No	N/A	No	0.9722289	0.302062116370375	1	1	0.171	1	1	1	1	1	1	1	1	1	1	0
KIFC3	6	No	N/A	No	0.6317442	0.0427413980664188	1	1	0.415	1	1	1	1	1	1	1	1	1	1	1
SOX3	9	No	N/A	No	0.5182146	1	1	1.962447e-05	0.976	0.829706561348334	1	1	1	1	1	1	1	1	1	1
MAPK15	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FCRL5	37	No	N/A	No	0.9496153	1	1	1	0.137	1	1	1	1	1	0.849307	1	1	1	1	0
PAQR3	15	No	N/A	No	0.9210897	0.949176498535178	1	1	0.152	1	1	1	1	1	1	1	1	1	1	0
NR3C2	6	No	N/A	No	1	1	1	1	0.764	1	1	1	1	1	1	1	1	1	1	0
PALLD	19	No	N/A	No	1	1	1	1	0.466	1	1	1	1	1	0.617724	1	1	1	1	0
MOGS	12	No	N/A	No	1	1	1	1	0.123	1	1	1	1	1	0.866342	1	1	1	1	0
