Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
DNAJC13	blca	7	No	N/A	No	1	1	1	1	0.707	1	1	1	1	1	1	1	0.029731130605963	1	1	1
ZNF624	blca	18	No	N/A	No	1	1	1	1	0.85	1	1	1	1	1	1	1	1	1	1	0
GGA3	blca	9	No	N/A	No	1	0.846063015670355	1	1	0.73	1	1	1	1	1	1	1	1	1	1	0
ZNF750	blca	8	No	N/A	No	0.02528978	1	1	1	0.334	1	1	1	1	1	1	1	1	1	1	1
VPS9D1	blca	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PPL	blca	7	No	N/A	No	1	0.514688291620399	0.665839508112	1	0.408	1	1	1	1	1	1	1	1	1	1	0
STAB2	blca	6	No	N/A	No	1	1	1	1	0.281	1	1	1	1	1	1	1	1	1	1	0
UBAP2	blca	5	No	N/A	No	1	0.636605318160994	1	1	0.815	1	1	1	1	1	1	1	1	1	1	0
GTF3C1	blca	6	No	N/A	No	1	0.505988265791188	1	1	0.724	1	1	1	1	1	1	1	1	1	1	0
RBM10	blca	5	No	TSG	Missense somatic drivers in other tissues	7.102603e-11	0.768805887298455	1	1	0.23	1	1	1	1	1	1	1	0.175327248761386	1	1	1
LRP12	blca	5	No	N/A	No	1	1	1	1	0.503	1	1	1	1	1	1	1	1	1	1	0
ZNF200	blca	5	No	N/A	No	1	1	1	1	0.907	1	1	1	1	1	1	1	1	1	1	0
KCNK2	blca	5	No	N/A	No	0.7767183	1	1	1.833557e-05	0.999	1	1	1	1	1	1	1	1	1	1	1
PBXIP1	blca	7	No	N/A	No	1	0.871687889715838	1	1	0.412	1	1	1	1	1	1	1	1	1	1	0
ABCA10	blca	7	No	N/A	No	1	1	1	1	0.0476	1	1	1	1	1	1	1	1	1	1	1
NUP188	blca	9	No	N/A	No	1	1	1	1	0.114	1	1	1	1	1	1	1	1	1	1	0
LPHN3	blca	6	No	N/A	No	1	1	1	1	0.969	1	1	1	1	1	1	1	1	1	1	0
CCDC18	blca	5	No	N/A	No	1	1	1	1	0.0213	1	1	1	1	1	1	1	1	1	1	1
ABI3BP	blca	6	No	N/A	No	1	0.496073627130027	1	1	0.522	1	1	1	1	1	1	1	1	1	1	0
AXL	blca	5	No	N/A	No	1	1	1	1	0.138	1	1	1	1	1	1	1	1	1	1	0
LRRC7	blca	13	No	N/A	No	1	1	1	1	0.516	1	1	1	1	1	1	1	1	1	1	0
CTTNBP2	blca	6	No	N/A	No	0.8586076	0.268920915878158	1	1	0.336	1	1	1	1	1	1	1	0.0963784845390604	1	1	0
MPDZ	blca	12	No	N/A	No	1	1	1	1	0.332	1	1	1	1	1	1	1	1	1	1	0
CHKB-CPT1B	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NUP98	blca	5	No	Unk	Other somatic drivers in other tissues	1	0.982192161486988	1	1	0.629	1	1	1	1	1	1	1	1	1	1	0
MSLNL	blca	7	No	N/A	No	1	1	1	1	0.251	1	1	1	1	1	1	1	1	1	1	0
SLC28A3	blca	6	No	N/A	No	0.1204764	1	1	1	0.469	1	1	1	1	1	1	1	1	1	1	0
ZNF521	blca	5	No	Unk	Other somatic drivers in other tissues	0.3964792	1	1	1	0.491	1	1	1	1	1	1	1	0.114983993622734	1	1	0
RNF168	blca	5	No	N/A	No	0.8232022	1	1	1	0.459	1	1	1	1	1	1	1	1	1	1	0
ATP10A	blca	7	No	N/A	No	1	0.453425495863573	1	1	0.436	1	1	1	1	1	1	1	1	1	1	0
LRBA	blca	6	No	N/A	No	1	0.9251349071975	1	1	0.961	1	1	1	1	1	1	1	1	1	1	0
PLCB3	blca	6	No	N/A	No	1	1	0.633735573631	1	0.829	1	1	1	1	1	1	1	0.00968998670938009	1	1	1
INPP5F	blca	5	No	N/A	No	1	1	1	1	0.075	1	1	1	1	1	1	1	0.16742516659044	1	1	0
LYST	blca	17	No	N/A	No	1	1	1	1	0.615	1	1	1	1	1	1	1	0.132702915205027	1	1	0
SLC22A12	blca	5	No	N/A	No	1	1	1	1	0.57	1	1	1	1	1	1	1	1	1	1	0
NUP85	blca	8	No	N/A	No	1	0.840389630291605	1	1	0.525	1	1	1	1	1	1	1	0.204144838040219	1	1	0
CHRD	blca	5	No	N/A	No	1	1	1	1	0.979	1	1	1	1	1	1	1	0.0881177742297782	1	1	0
MCM3AP	blca	6	No	N/A	No	1	0.987512197320098	1	1	0.0109	1	1	1	1	1	1	1	1	1	1	1
CHD2	blca	15	No	N/A	No	0.09229584	0.703156665010892	1	1	0.906	1	1	1	1	1	1	1	1	1	1	0
PCDHGC4	blca	5	No	N/A	No	1	1	1	1	0.228	1	1	1	1	1	1	1	1	1	1	0
ARHGAP39	blca	5	No	N/A	No	1	1	1	1	0.611	1	1	1	1	1	1	1	1	1	1	0
GRIA1	blca	10	No	N/A	No	0.8732563	1	1	1	0.734	1	1	1	1	1	1	1	0.149025189155099	1	1	0
MAGI2	blca	7	No	N/A	No	1	0.436049392832318	1	1	0.202	1	1	1	1	1	1	1	1	1	1	0
KRT15	blca	5	No	N/A	No	1	0.165546524751989	1	1	0.709	1	1	1	1	1	1	1	1	1	1	0
PRKCSH	blca	5	No	N/A	No	1	1	1	1	0.959	1	1	1	1	1	1	1	0.193813791440766	1	1	0
PSIP1	blca	7	No	Unk	Other somatic drivers in other tissues	8.99352e-06	0.132569755022519	1	1	0.816	1	1	1	1	1	1	1	0.179713637695021	1	1	1
DCLK2	blca	6	No	N/A	No	0.4077363	1	1	1	0.468	1	1	1	1	1	1	1	1	1	1	0
UCN2	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RTTN	blca	7	No	N/A	No	1	0.3755465760746	1	1	0.588	1	1	1	1	1	1	1	1	1	1	0
GPR98	blca	19	No	N/A	No	1	1	1	1	0.311	1	1	1	1	1	1	1	1	1	1	0
FAM83H	blca	10	No	N/A	No	1	0.390552595659297	1	1	0.223	1	1	1	1	1	1	1	0.0173574625672012	1	1	1
ATF6	blca	6	No	N/A	No	0.2144778	1	1	1	0.316	1	1	1	1	1	1	1	0.117325399563529	1	1	0
TP63	blca	6	No	N/A	No	1	1	1	1	0.0474	1	1	1	1	1	1	1	0.0215380518130259	1	1	2
BMX	blca	5	No	N/A	No	1	1	1	1	0.895	1	1	1	1	1	1	1	1	1	1	0
RECQL5	blca	9	No	N/A	No	1	0.20641019770689	1	1	0.703	1	1	1	1	1	1	1	1	1	1	0
CACNA1G	blca	6	No	N/A	No	1	1	1	1	0.474	1	1	1	1	1	1	1	1	1	1	0
NCOA1	blca	10	No	Unk	Other somatic drivers in other tissues	0.08482147	0.0474347272403292	1	1	0.302	1	1	1	1	1	1	1	0.00500200016025443	1	1	2
ZKSCAN7	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PUF60	blca	5	No	N/A	No	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	0
PIK3C2B	blca	6	No	N/A	No	0.8268825	0.157741519432377	1	1	0.339	1	1	1	1	1	1	1	0.0973741800095518	1	1	0
PSMC2	blca	8	No	N/A	No	1	0.899356895775245	1	1	0.581	1	1	1	1	1	1	1	0.0886147770136137	1	1	0
PDGFRA	blca	6	No	OG	Missense somatic drivers in other tissues	1	1	1	1	0.825	1	1	1	1	1	1	1	1	1	1	0
LAMA4	blca	5	No	N/A	No	0.4394474	1	0.439966186491	1	0.748	1	1	1	1	1	1	1	1	1	1	0
CAD	blca	8	No	N/A	No	1	1	1	1	0.978	1	1	1	1	1	1	1	0.0146634656168864	1	1	1
ITSN1	blca	6	No	N/A	No	1	1	1	1	0.619	1	1	1	1	1	1	1	1	1	1	0
ZNF99	blca	9	No	N/A	No	1	1	1	1	0.562	1	1	1	1	1	1	1	1	1	1	0
BUD13	blca	6	No	N/A	No	0.07977028	1	1	1	0.459	1	1	1	1	1	1	1	1	1	1	0
FNDC3A	blca	6	No	N/A	No	1	0.373053935290839	1	1	0.199	1	1	1	1	1	1	1	1	1	1	0
SUPT16H	blca	5	No	N/A	No	0.1705124	1	1	1	0.0648	1	1	1	1	1	1	1	0.0822636126821843	1	1	0
PCDHGA2	blca	61	No	N/A	No	1	1	1	1	0.543	1	1	1	1	1	1	1	1	1	1	0
MRM1	blca	6	No	N/A	No	1	1	1	1	0.782	1	1	1	1	1	1	1	1	1	1	0
CAMTA2	blca	9	No	N/A	No	0.9487363	0.386156100470837	1	1	0.466	1	1	1	1	1	1	1	1	1	1	0
RIMS1	blca	5	No	N/A	No	1	1	1	1	0.171	1	1	1	1	1	1	1	1	1	1	0
RYR3	blca	17	No	N/A	No	0.9650312	1	1	1	0.272	1	1	1	1	1	1	1	1	1	1	0
SAMD4B	blca	9	No	N/A	No	1	1	1	1	0.52	1	1	1	1	1	1	1	0.0578811360641234	1	1	0
SLC27A5	blca	7	No	N/A	No	0.6881829	0.892293230535996	1	1	0.207	1	1	1	1	1	1	1	1	1	1	0
SIPA1	blca	6	No	N/A	No	1	1	1	1	0.886	1	1	1	1	1	1	1	0.0130082316239716	1	1	1
YY1AP1	blca	6	No	N/A	No	1	0.395039693536527	1	1	0.9	1	1	1	1	1	1	1	1	1	1	0
MASP2	blca	5	No	N/A	No	1	1	1	1	0.588	1	1	1	1	1	1	1	1	1	1	0
PLEKHG4	blca	7	No	N/A	No	1	1	1	1	0.964	1	1	1	1	1	1	1	1	1	1	0
PAPPA2	blca	8	No	N/A	No	1	1	1	1	0.43	1	1	1	1	1	1	1	1	1	1	0
NOA1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.189136586106575	1	1	0
HIST1H4D	blca	7	No	N/A	No	0.535037	1	1	1	0.719	1	1	1	1	1	1	1	1	1	1	0
FAM83C	blca	5	No	N/A	No	1	1	1	1	0.661	1	1	1	1	1	1	1	1	1	1	0
MKI67	blca	12	No	N/A	No	1	0.993140275350646	1	1	0.115	1	1	1	1	1	1	1	0.0439805543818139	1	1	1
AFF4	blca	7	No	OG	Other somatic drivers in other tissues	0.8703871	0.133329932895214	1	1	0.0589	1	1	1	1	1	1	1	0.18964209036267	1	1	0
AMER3	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TOPBP1	blca	5	No	N/A	No	1	1	1	1	0.963	1	1	1	1	1	1	1	0.00362059711121256	1	1	1
TOP2A	blca	7	No	N/A	No	1	0.0686607312229146	1	1	0.578	1	1	1	1	1	1	1	0.00679286585307328	1	1	1
MYLK3	blca	7	No	N/A	No	1	1	1	1	0.556	1	1	1	1	1	1	1	1	1	1	0
RELN	blca	13	No	N/A	No	1	1	1	1	0.0834	1	1	1	1	1	1	1	1	1	1	0
PSD3	blca	5	No	N/A	No	0.08482147	1	1	1	0.633	1	1	1	1	1	1	1	1	1	1	0
HIST1H2BK	blca	7	No	N/A	No	1	1	1	1	0.542	1	1	1	1	1	1	1	1	1	1	0
BBS9	blca	8	No	N/A	No	0.09297877	0.547553017150288	1	1	0.763	1	1	1	1	1	1	1	1	1	1	0
NUP210	blca	5	No	N/A	No	1	1	1	1	0.383	1	1	1	1	1	1	1	0.0896745566452359	1	1	0
FGR	blca	7	No	N/A	No	1	0.58788228593761	1	1	0.982	1	1	1	1	1	1	1	0.0241690794091348	1	1	1
IL21R	blca	5	No	Unk	Other somatic drivers in other tissues	0.461578	1	1	1	0.925	1	1	1	1	1	1	1	1	1	1	0
MYLPF	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
DQX1	blca	10	No	N/A	No	1	1	1	1	0.025	1	1	1	1	1	1	1	1	1	1	1
SRPK3	blca	6	No	N/A	No	1	1	1	1	0.442	1	1	1	1	1	1	1	1	1	1	0
SLC12A5	blca	10	No	N/A	No	1	1	1	1	0.198	1	1	1	1	1	1	1	1	1	1	0
NBPF10	blca	6	No	N/A	No	1	1	0.439966186491	0.0001767345	0.956	1	1	1	1	1	1	1	1	1	1	1
PDE11A	blca	8	No	N/A	No	1	1	1	1	0.84	1	1	1	1	1	1	1	1	1	1	0
SGK494	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TROAP	blca	7	No	N/A	No	1	0.763318862977791	1	1	0.687	1	1	1	1	1	1	1	1	1	1	0
COL7A1	blca	16	No	N/A	No	0.4352785	1	1	1	0.453	1	1	1	1	1	1	1	1	1	1	0
NF1	blca	14	No	Unk	Missense somatic drivers in other tissues	0.8726262	0.0312011618900016	1	1	0.399	1	1	1	1	1	1	1	0.170370966663282	1	1	1
PRDM2	blca	7	No	N/A	No	0.9408266	0.340548653836982	1	1	0.111	1	1	1	1	1	1	1	0.166613521071888	1	1	0
INO80D	blca	6	No	N/A	No	0.9726107	1	1	1	0.835	1	1	1	1	1	1	1	1	1	1	0
C19orf44	blca	5	No	N/A	No	1	0.514400130714669	1	1	0.365	1	1	1	1	1	1	1	1	1	1	0
TP53	blca	78	No	OG/TSG	Missense somatic drivers in other tissues	1.013134e-12	0	0.408575481592	7.183885e-21	0	1.56406025000872e-13	7.56345391236252e-09	4.401892e-16	1.489677e-13	5e-04	0.020125	7.417e-07	0.0275293262395515	7.67353549138532e-10	0.0006039004	14
PCDHGB4	blca	37	No	N/A	No	1	1	1	1	0.919	1	1	1	1	1	1	1	1	1	1	0
WDR46	blca	15	No	N/A	No	1	0.612322810450052	1	1	0.227	1	1	1	1	1	1	1	1	1	1	0
ATAD2	blca	11	No	N/A	No	0.1943845	1	1	1	0.88	0.842449494355515	1	1	1	1	1	1	1	1	1	0
LRP4	blca	5	No	N/A	No	1	1	1	1	0.212	1	1	1	1	1	1	1	1	1	1	0
IQCG	blca	5	No	N/A	No	1	1	1	1	0.41	1	1	1	1	1	1	1	1	1	1	0
ZFP37	blca	9	No	N/A	No	0.5572978	1	1	1	0.21	1	1	1	1	1	1	1	1	1	1	0
HORMAD1	blca	7	No	N/A	No	0.05552329	1	1	1	0.708	1	1	1	1	1	1	1	1	1	1	0
ZFP36L2	blca	9	No	N/A	No	6.841067e-10	0.166971767272751	1	1	0.814	1	1	1	1	1	1	1	1	1	1	1
HRNR	blca	16	No	N/A	No	0.0716901	1	1	1	0.472	1	1	1	1	1	1	1	0.0263668177957863	1	1	1
PLXNB2	blca	9	No	N/A	No	0.4334448	0.813838324274506	1	1	0.842	1	1	1	1	1	1	1	1	1	1	0
PPP1R16A	blca	5	No	N/A	No	1	0.475324626419139	1	1	0.473	1	1	1	1	1	1	1	1	1	1	0
AGER	blca	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SEPT1	blca	6	No	N/A	No	1	1	1	1	0.266	1	1	1	1	1	1	1	1	1	1	0
PABPC3	blca	5	No	N/A	No	1	0.121254125047302	1	1	0.55	1	1	1	1	1	1	1	0.00572383841507632	1	1	1
MYO7B	blca	8	No	N/A	No	1	1	1	1	0.781	1	1	1	1	1	1	1	1	1	1	0
HRAS	blca	6	No	OG	Missense somatic drivers in other tissues	3.599268e-05	0.0474347272403292	0.439966186491	1	0.039	1	0.000683680943674395	1	1	1	0.00119937	1	1	1	1	5
TAPBP	blca	7	No	N/A	No	1	1	1	1	0.357	1	1	1	1	1	1	1	1	1	1	0
KIAA0319L	blca	5	No	N/A	No	1	0.604660030368785	1	1	0.0618	1	1	1	1	1	1	1	0.18329342931859	1	1	0
FARP1	blca	9	No	N/A	No	1	0.378290926120974	1	1	0.412	1	1	1	1	1	1	1	0.193757476114695	1	1	0
CCDC88A	blca	8	No	N/A	No	0.3318902	0.620561248174861	1	1	0.769	1	1	1	1	1	1	1	1	1	1	0
OTOF	blca	8	No	N/A	No	1	1	1	1	0.156	1	1	1	1	1	1	1	1	1	1	0
TMOD4	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
VWA3B	blca	6	No	N/A	No	1	1	1	1	0.424	1	1	1	1	1	1	1	1	1	1	0
PCDHA9	blca	40	No	N/A	No	1	1	1	1	0.712	1	1	1	1	1	1	1	1	1	1	0
SPEN	blca	13	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.0529	1	1	1	1	1	1	1	0.0263668177957863	1	1	1
ATRNL1	blca	6	No	N/A	No	1	1	1	1	0.206	1	1	1	1	1	1	1	1	1	1	0
LRP1	blca	12	No	N/A	No	1	1	1	1	0.69	1	1	1	1	1	1	1	0.134584245432548	1	1	0
CATSPERB	blca	5	No	N/A	No	1	1	1	1	0.261	1	1	1	1	1	1	1	1	1	1	0
RBAK	blca	5	No	N/A	No	0.8268825	0.60863432296561	1	1	0.962	1	1	1	1	1	1	1	1	1	1	0
KCNT1	blca	6	No	N/A	No	1	1	1	1	0.648	1	1	1	1	1	1	1	1	1	1	0
USP38	blca	5	No	N/A	No	0.4714115	1	1	1	0.438	1	1	1	1	1	1	1	1	1	1	0
ALAS1	blca	5	No	N/A	No	0.6751699	1	1	1	0.637	1	1	1	1	1	1	1	1	1	1	0
ZNF687	blca	8	No	N/A	No	1	1	1	1.318823e-05	0.062	0.201906189753213	1	1	1	1	1	1	1	1	1	1
RGS22	blca	6	No	N/A	No	0.6197633	1	1	1	0.891	1	1	1	1	1	1	1	1	1	1	0
KIF19	blca	5	No	N/A	No	1	1	1	1	0.821	1	1	1	1	1	1	1	1	1	1	0
ZNF263	blca	5	No	N/A	No	0.976004	0.773559430491588	1	1	0.529	1	1	1	1	1	1	1	1	1	1	0
MMP23B	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
STAC3	blca	6	No	N/A	No	0.3325739	1	1	1	0.414	1	1	1	1	1	1	1	1	1	1	0
EPHA5	blca	5	No	N/A	No	0.3355677	1	1	1	0.168	1	1	1	1	1	1	1	1	1	1	0
PREB	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HERC1	blca	15	No	N/A	No	1	0.00158925154182192	1	1	0.00244	1	1	1	1	1	1	1	0.0227507169169609	1	1	3
CEACAM8	blca	5	No	N/A	No	0.07262221	1	1	1	0.783	1	1	1	1	1	1	1	1	1	1	0
PCDHGA12	blca	9	No	N/A	No	1	1	1	1	0.707	1	1	1	1	1	1	1	1	1	1	0
DOCK4	blca	6	No	N/A	No	1	1	1	1	0.435	1	1	1	1	1	1	1	1	1	1	0
NFATC3	blca	5	No	N/A	No	1	0.58788228593761	1	1	0.193	1	1	1	1	1	1	1	1	1	1	0
NOS1AP	blca	5	No	N/A	No	1	1	1	1	0.345	1	1	1	1	1	1	1	1	1	1	0
UBR1	blca	5	No	N/A	No	0.5120946	1	1	1	0.901	1	1	1	1	1	1	1	0.127576602882182	1	1	0
KIF14	blca	6	No	N/A	No	1	1	1	1	0.432	1	1	1	1	1	1	1	1	1	1	0
F8	blca	6	No	N/A	No	1	1	1	1	0.601	1	1	1	1	1	1	1	1	1	1	0
MTUS1	blca	6	No	N/A	No	1	0.384691088739927	1	1	0.783	1	1	1	1	1	1	1	0.0505762702023865	1	1	0
ZNF385D	blca	6	No	N/A	No	0.6953672	1	1	1	0.944	1	1	1	1	1	1	1	1	1	1	0
CHPT1	blca	5	No	N/A	No	1	0.514688291620399	1	1	0.585	1	1	1	1	1	1	1	1	1	1	0
KIAA0754	blca	8	No	N/A	No	1	1	1	1	0.644	1	1	1	1	1	1	1	1	1	1	0
TRIM59	blca	14	No	N/A	No	1	0.707190984651756	1	1	0.258	1	1	1	1	1	1	1	1	1	1	0
ADAMTS18	blca	9	No	N/A	No	1	1	1	1	0.862	1	1	1	1	1	1	1	1	1	1	0
SND1	blca	6	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.184	1	1	1	1	1	1	1	1	1	1	0
GDPD3	blca	5	No	N/A	No	1	1	1	1	0.241	1	1	1	1	1	1	1	1	1	1	0
ANKRD35	blca	5	No	N/A	No	1	1	1	1	0.945	1	1	1	1	1	1	1	1	1	1	0
CENPE	blca	6	No	N/A	No	1	1	1	1	0.298	1	1	1	1	1	1	1	1	1	1	0
ZNF394	blca	5	No	N/A	No	0.6751699	1	1	1	0.194	1	1	1	1	1	1	1	1	1	1	0
ROBO1	blca	6	No	N/A	No	1	0.332793072030291	1	1	0.0582	1	1	1	1	1	1	1	1	1	1	0
CHUK	blca	6	No	N/A	No	1	1	1	1	0.116	1	1	1	1	1	1	1	1	1	1	0
DCLK1	blca	5	No	N/A	No	1	0.168996154090383	1	1	0.844	1	1	1	1	1	1	1	1	1	1	0
SPHK2	blca	6	No	N/A	No	1	1	1	1	0.908	1	1	1	1	1	1	1	1	1	1	0
SPG11	blca	5	No	N/A	No	1	0.506973523224219	1	0.0009454878	0.578	1	1	1	1	1	1	1	1	1	1	1
COPA	blca	5	No	N/A	No	0.9462793	0.779183125817578	1	1	0.165	1	1	1	1	1	1	1	1	1	1	0
SLC35B2	blca	7	No	N/A	No	1	0.76283324069155	1	1	0.047	1	1	1	1	1	1	1	0.107200212775006	1	1	1
PCDHGB2	blca	48	No	N/A	No	1	1	1	1	0.868	1	1	1	1	1	1	1	0.192198485711125	1	1	0
C11orf48	blca	8	No	N/A	No	1	1	1	1	0.693	1	1	1	1	1	1	1	1	1	1	0
TAS1R3	blca	13	No	N/A	No	1	1	1	1	0.822	1	1	1	1	1	1	1	1	1	1	0
APBB1	blca	6	No	N/A	No	1	0.962666434735465	1	1	0.588	1	1	1	1	1	1	1	1	1	1	0
DAXX	blca	7	No	OG/TSG	Missense somatic drivers in other tissues	1	1	1	1	0.231	1	1	1	1	1	1	1	1	1	1	0
SCAF4	blca	11	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.029731130605963	1	1	1
BUB1	blca	8	No	N/A	No	1	1	1	1	0.989	1	1	1	1	1	1	1	1	1	1	0
VWA8	blca	5	No	N/A	No	1	0.121021194758369	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AFF3	blca	11	No	OG	Other somatic drivers in other tissues	1	1	0.840351019725	1	0.413	1	1	1	1	1	1	1	1	1	1	0
COG4	blca	5	No	N/A	No	1	1	1	1	0.573	1	1	1	1	1	1	1	1	1	1	0
CX3CL1	blca	5	No	N/A	No	0.7348164	0.542701516552591	1	1	0.188	1	1	1	1	1	1	1	1	1	1	0
MYO15A	blca	5	No	N/A	No	1	1	1	1	0.887	1	1	1	1	1	1	1	1	1	1	0
HK3	blca	6	No	N/A	No	1	1	1	1	0.775	1	1	1	1	1	1	1	1	1	1	0
PCDHGB7	blca	19	No	N/A	No	1	1	1	1	0.465	1	1	1	1	1	1	1	1	1	1	0
SLCO1B7	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZFC3H1	blca	7	No	N/A	No	1	0.58788228593761	1	1	0.433	1	1	1	1	1	1	1	0.16787945208935	1	1	0
EZR	blca	7	No	OG	Other somatic drivers in other tissues	1	0.0551966197593933	1	1	0.906	1	1	1	1	1	1	1	0.140785835262097	1	1	0
MPHOSPH9	blca	6	No	N/A	No	0.7017878	0.354009414468315	1	1	0.482	1	1	1	1	1	1	1	1	1	1	0
MAP3K4	blca	5	No	N/A	No	0.8405816	0.337347520986462	1	1	0.781	1	1	1	1	1	1	1	1	1	1	0
IRS4	blca	9	No	N/A	No	1	1	1	1	0.963	0.716269022998157	1	1	1	1	1	1	1	1	1	0
DNHD1	blca	5	No	N/A	No	1	0.697532931717565	1	0.0009381649	0.864	1	1	1	1	1	1	1	1	1	1	1
ZNF512B	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PHPT1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FREM1	blca	7	No	N/A	No	1	1	1	1	0.726	1	1	1	1	1	1	1	1	1	1	0
E2F8	blca	5	No	N/A	No	0.241065	0.425263282697868	1	1	0.0775	1	1	1	1	1	1	1	0.134584245432548	1	1	0
ARID1B	blca	6	No	TSG	Missense somatic drivers in other tissues	0.2007099	0.384691088739927	1	1	0.677	1	1	1	1	1	1	1	1	1	1	0
VPS52	blca	6	No	N/A	No	1	1	1	1	0.717	1	1	1	1	1	1	1	1	1	1	0
MDC1	blca	10	No	N/A	No	1	1	1	1	0.353	1	1	1	1	1	1	1	1	1	1	0
PRMT7	blca	6	No	N/A	No	1	0.238942722339958	1	1	0.0487	1	1	1	1	1	1	1	1	1	1	1
PLAUR	blca	6	No	N/A	No	0.6426255	0.545658899117676	1	1	0.631	1	1	1	1	1	1	1	1	1	1	0
LAMA5	blca	11	No	N/A	No	1	0.592895484471531	1	1	0.284	1	1	1	1	1	1	1	1	1	1	0
LSM14B	blca	6	No	N/A	No	0.7693742	0.607574254586819	1	1	0.555	1	1	1	1	1	1	1	1	1	1	0
ANKRD11	blca	11	No	N/A	No	1	0.719418132194141	1	1	0.986	1	1	1	1	1	1	1	0.0352427804146621	1	1	1
NIN	blca	7	No	Unk	Other somatic drivers in other tissues	0.8977158	1	1	1	0.958	1	1	1	1	1	1	1	1	1	1	0
ZMYM1	blca	5	No	N/A	No	1	1	1	1	0.0534	1	1	1	1	1	1	1	1	1	0.04308797	1
CACNA2D4	blca	6	No	N/A	No	1	1	1	1	0.565	1	1	1	1	1	1	1	1	1	1	0
KIF26B	blca	5	No	N/A	No	1	1	1	1	0.995	1	1	1	1	1	1	1	1	1	1	0
PCDHB16	blca	14	No	N/A	No	1	1	1	1	0.872	1	1	1	1	1	1	1	1	1	1	0
B3GNT5	blca	6	No	N/A	No	1	0.616500616195594	1	1	0.52	1	1	1	1	1	1	1	1	1	1	0
APPL2	blca	5	No	N/A	No	1	0.301278505083963	1	1	0.796	1	1	1	1	1	1	1	1	1	1	0
ANK1	blca	8	No	N/A	No	1	1	1	1	0.78	1	0.790798506563893	1	1	1	1	1	1	1	1	0
PLA2R1	blca	7	No	N/A	No	1	1	1	1	0.859	1	1	1	1	1	1	1	1	1	1	0
ATP10D	blca	6	No	N/A	No	0.2060356	0.67028098135508	1	1	0.502	1	1	1	1	1	1	1	1	1	1	0
TNFRSF25	blca	5	No	N/A	No	1	1	1	1	0.949	1	1	1	1	1	1	1	1	1	1	0
DVL1	blca	7	No	N/A	No	1	1	1	1	0.185	1	1	1	1	1	1	1	1	1	1	0
CTC-554D6.1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF607	blca	8	No	N/A	No	1	0.880183653331675	1	1	0.416	1	1	1	1	1	1	1	1	1	1	0
HIST1H2BJ	blca	5	No	N/A	No	1	1	1	1	0.694	1	1	1	1	1	1	1	1	1	1	0
DAAM1	blca	7	No	N/A	No	1	0.0719983546507342	1	1	0.278	1	1	1	1	1	1	1	1	1	1	0
RNF5	blca	8	No	N/A	No	1	1	1	1	0.172	1	1	1	1	1	1	1	1	1	1	0
DSP	blca	12	No	N/A	No	1	0.402962884620091	1	1	0.988	1	1	1	1	1	1	1	0.00079754038514398	1	1	1
TMEM132D	blca	5	No	N/A	No	1	1	1	1	0.349	1	1	1	1	1	1	1	0.0678447135809999	1	1	0
NPC1	blca	6	No	N/A	No	1	1	1	1	0.63	1	1	1	1	1	1	1	0.123797687388273	1	1	0
MAPK9	blca	5	No	N/A	No	1	0.132797834632274	1	1	0.797	1	1	1	1	1	1	1	1	1	1	0
MTIF2	blca	5	No	N/A	No	1	1	1	1	0.609	1	1	1	1	1	1	1	0.19897821284526	1	1	0
KLHL28	blca	6	No	N/A	No	1	1	1	1	0.735	1	1	1	1	1	1	1	1	1	1	0
